name,REGN,type,date,region
Платина,2347,отозв.,2021-09-17 ,Москва
КС Банк,1752,отозв.,2021-08-06 ,Саранск (Республика Мордовия)
Руна-Банк,3207,отозв.,2021-07-23 ,Москва
Русское Финансовое Общество,3427,отозв.,2021-07-23 ,Москва
Актив Банк,2529,отозв.,2021-06-25 ,Саранск (Республика Мордовия)
Энергомашбанк,52,отозв.,2021-06-09 ,Санкт-Петербург
РФИ Банк,3351,отозв.,2021-06-04 ,Москва
ИРС,272,отозв.,2021-05-28 ,Москва
Нарат ,1902,отозв.,2021-05-28 ,Казань (Республика Татарстан)
Заубер Банк,1614,отозв.,2021-05-28 ,Санкт-Петербург
Красноярский Краевой Расчетный Центр,3483,отозв.,2021-05-21 ,Красноярск (Красноярский край)
Проинвестбанк,784,отозв.,2021-04-23 ,Пермь (Пермский край)
Интерпромбанк ,3266,отозв.,2021-04-16 ,Москва
Нейва ,1293,отозв.,2021-04-16 ,Екатеринбург (Свердловская область)
Нефтепромбанк,2156,отозв.,2021-04-09 ,Москва
Геобанк,2027,отозв.,2021-04-02 ,Москва
РИБ,2749,отозв.,2021-04-02 ,Москва
Майкопбанк,1136,отозв.,2021-04-02 ,Майкоп (Республика Адыгея)
Мегаполис ,3265,отозв.,2021-03-26 ,Чебоксары (Чувашская Республика)
ЮМК Банк,3495,отозв.,2021-03-19 ,Краснодар (Краснодарский край)
Сетевая Расчетная Палата,3332,отозв.,2021-03-12 ,Казань (Республика Татарстан)
Современные Стандарты Бизнеса,3397,отозв.,2021-03-12 ,Москва
ФорБанк,2063,отозв.,2021-03-12 ,Москва
Платежный Стандарт,3530,отозв.,2020-12-25 ,Новосибирск
ФинТех ,3499,отозв.,2020-12-11 ,Москва
Онего,2484,отозв.,2020-12-11 ,Петрозаводск (Республика Карелия)
Евроазиатский Инвестиционный Банк,2897,отозв.,2020-12-04 ,Москва
Международный Коммерческий Банк,2524,отозв.,2020-11-13 ,Москва
Росбизнесбанк,1405,отозв.,2020-10-23 ,Москва
Майский,1673,отозв.,2020-10-09 ,Майский (Кабардино-Балкарская Республика)
Прохладный,874,отозв.,2020-10-09 ,Прохладный (Кабардино-Балкарская Республика)
ТЭМБР-Банк,2764,отозв.,2020-10-02 ,Москва
Народный Банк,2249,отозв.,2020-07-24 ,Москва
Невастройинвест,1926,отозв.,2020-07-24 ,Санкт-Петербург
Народный Банк Тувы,1309,отозв.,2020-07-14 ,Кызыл
Апабанк,2404,отозв.,2020-01-31 ,Москва 
Нижневолжский Коммерческий Банк,931,отозв.,2020-01-24 ,Саратов
Промышленно-финансовое сотрудничество,2410,отозв.,2020-01-17 ,Москва
Нэклис-Банк,1671,отозв.,2020-01-10 ,Москва
Кранбанк,2271,отозв.,2019-12-13 ,Иваново
Невский Банк,1068,отозв.,2019-12-13 ,Санкт-Петербург
Старооскольский Агропромбанк,1050,отозв.,2019-11-29 ,Старый Оскол (Белгородская область)
Кредпромбанк,1165,отозв.,2019-11-22 ,Ярославль
Вест,2605,отозв.,2019-11-22 ,Москва
Кредитинвест,1197,отозв.,2019-11-15 ,Кизилюрт (Республика Дагестан)
Чувашкредитпромбанк,1280,отозв.,2019-11-07 ,Чебоксары
Эксперт Банк,2949,отозв.,2019-11-01 ,Омск
ГринКомБанк,1184,отозв.,2019-09-12 ,Иркутск
Ассоциация,732,отозв.,2019-07-29 ,Нижний Новгород
РАМ Банк,3480,отозв.,2019-07-26 ,Москва
Жилкредит,1736,отозв.,2019-07-19 ,Москва
21 Век,3309,отозв.,2019-07-12 ,Санкт-Петербург
Частный Расчетно-Кассовый Центр,3420,отозв.,2019-07-12 ,Москва
Взаимодействие,1704,отозв.,2019-06-06 ,Новосибирск
Прайм Финанс,2758,отозв.,2019-06-06 ,Санкт-Петербург
Кемсоцинбанк,96,отозв.,2019-05-31 ,Кемерово
Холдинвестбанк,2837,отозв.,2019-04-26 ,Москва
Тройка-Д Банк,3431,отозв.,2019-04-17 ,Москва
Аспект,608,отозв.,2019-04-12 ,Москва
Иваново,1763,отозв.,2019-04-05 ,Иваново
Международный Расчетный Банк,3028,отозв.,2019-03-28 ,Москва
