BankReorgIndex;ReorgType;Name;regnum;Cause;Method;ReorgStartDate;ReorgEndDate;BankLocation
1;1;"АО ""Московский Индустриальный банк""";912;AssetsQuality;GovEquity;22.01.2019;29.04.2021;Москва
2;1;"ПАО ""Промсвязьбанк""";3251;AssetsQuality;GovEquity;15.12.2017;06.09.2018;Москва
3;1;"ПАО НБ ""Траст""";3279;Manipulation;Liability;22.12.2014;29.04.2021;Москва
4;2;"АО КБ ""Солидарность""";554;Solvency;PrivateEquity;02.12.2013;08.02.2016;Самара
5;2;"ПАО КБ ""Спутник""";1071;Manipulation;GovEquity;09.09.2021;0;Самара
6;2;"АО ""Экономбанк""";1319;Solvency;PrivateEquity;09.03.2016;14.12.2018;Саратов
7;2;"АО ""ВУЗ-банк""";1557;AssetsQuality;Liability;12.08.2015;10.02.2016;Екатеринбург
8;2;"АО ""Тимер Банк"" ранее АКБ ""БТА-Казань"" (ОАО)";1581;Solvency;Liability;27.05.2014;21.02.2018;Москва
9;2;АКБ МОСОБЛБАНК ОАО;1751;AssetsQuality;PrivateEquity;21.05.2014;29.04.2015;Москва
10;2;КБ «ПЕРЕСВЕТ» (АО);2110;Solvency;PrivateEquity;21.10.2016;09.08.2017;Москва
11;2;ПАО «БАНК УРАЛСИБ»;2275;Solvency;PrivateEquity;04.11.2015;16.04.2020;Москва
12;2;"КБ ""Таврический"" ОАО";2304;Solvency;Liability;11.02.2015;29.06.2015;Санкт-Петербург
13;2;АО «ГЕНБАНК»;2490;AssetsQuality;PrivateEquity;10.08.2017;19.06.2020;Симферополь
14;2;АО «БМ-Банк»;2748;AssetsQuality;Merg;09.02.2016;16.12.2016;Москва
15;2;АКБ «Инвестторгбанк»;2763;AssetsQuality;Liability;27.08.2015;13.07.2018;Москва
16;2;ПАО «БАЛТИНВЕСТБАНК»;3176;Solvency;Liability;24.12.2015;24.06.2016;Санкт-Петербург
17;2;ОАО «Газэнергобанк»;3252;Solvency;Merg;12.08.2015;21.02.2020;Калуга
18;2;АО «Севастопольский Морской банк»;3528;Solvency;Liability;29.01.2020;06.11.2020;Севастополь
19;3;"АО ""Автовазбанк""";23;AssetsQuality;Merg;24.07.2015;28.12.2018;Тольятти
20;3;ПАО МАБ «Темпбанк»;55;Solvency;Revoc;05.04.2017;02.10.2017;Москва
21;3;"ПАО ""Балтийский Банк""";128;AssetsQuality;Merg;20.08.2014;27.02.2019;Санкт-Петербург
22;3;"АО ""Международный банк Санкт-Петербурга""";197;AssetsQuality;Revoc;15.10.2018;31.10.2018;Санкт-Петербург
23;3;"АО ""Волго-Окский коммерческий банк""";312;Solvency;Merg;27.08.2015;29.11.2019;Нижний Новогород
24;3;"ПАО ""БИНБАНК""";323;Solvency;Merg;20.09.2017;30.10.2018;Москва
25;3;ООО КБ «Финанс Бизнес Банк»;520;Manipulation;Merg;21.05.2014;29.04.2014;Москва
26;3;"АО Банк ""Советский""";558;Solvency;Revoc;23.10.2015;10.07.2018;Санкт-Петербург
27;3;"АО ""Социнвестбанк""";1132;Solvency;Merg;06.08.2015;25.02.2019;Уфа
28;3;АО «Азиатско-Тихоокеанский Банк»;1810;Solvency;PrivateEquity;25.04.2018;30.09.2021;Благовещенск
29;3;"ПАО АКБ ""Спурт""";2207;AssetsQuality;Revoc;28.04.2017;21.07.2017;Казань
30;3;"ПАО Банк ""Финансовая Корпорация Открытие""";2209;AssetsQuality;GovEquity;29.08.2017;02.07.2019;Москва
31;3;"ПАО Банк ""Объединенный финансовый капитал""";2270;AssetsQuality;Revoc;21.03.2018;16.04.2018;Москва
32;3;АО «Банк ДОМ.РФ»;2312;Solvency;Liability;13.05.2009;18.12.2019;Москва
33;3;"ПАО ""ИнтехБанк""";2705;AssetsQuality;Revoc;23.12.2016;03.03.2017;Казань
34;3;"АО ""БИНБАНК Диджитал""";2827;AssetsQuality;Merg;06.03.2014;30.10.2018;Москва
35;3;"АО ""РОСТ БАНК""";2888;Solvency;Merg;28.11.2014;29.06.2018;Москва
36;3;"АО ""РОСКОСМОСБАНК""";2989;AssetsQuality;Merg;25.02.2015;18.11.2020;Москва
37;3;"ПАО ""Татфондбанк""";3058;Solvency;Revoc;15.12.2018;03.03.2017;Казань
38;3;АО АКБ „ЭКПРЕСС-ВОЛГА“;3085;Solvency;Merg;12.08.2015;15.02.2016;Саратов
39;3;"ПАО ""Крайинвестбанк""";3360;Solvency;Merg;25.12.2015;18.11.2019;Краснодар
